technology_1,technology_2,region_1,parameter,timestep_2,value
openspace,openspace_a,NONEU_Balkan,avaConv,d013,0.11608631804166665
openspace,openspace_a,TR,avaConv,d013,0.13263358333333333
openspace,openspace_a,AT,avaConv,d014,0.02355166666666667
openspace,openspace_a,BE,avaConv,d014,0.05108058333333334
openspace,openspace_a,BG,avaConv,d014,0.075509625
openspace,openspace_a,CH,avaConv,d014,0.06534745833333333
openspace,openspace_a,CZ,avaConv,d014,0.012601250000000001
openspace,openspace_a,DK,avaConv,d014,0.017783375
openspace,openspace_a,ES,avaConv,d014,0.10063083333333334
openspace,openspace_a,FI,avaConv,d014,0.00612775
openspace,openspace_a,FR,avaConv,d014,0.06650416666666667
openspace,openspace_a,GR,avaConv,d014,0.08516562500000001
openspace,openspace_a,HR,avaConv,d014,0.03334615625
openspace,openspace_a,HU,avaConv,d014,0.035880999999999996
openspace,openspace_a,IE,avaConv,d014,0.046972708333333335
openspace,openspace_a,IT,avaConv,d014,0.05374691666666667
openspace,openspace_a,LU,avaConv,d014,0.062499375
openspace,openspace_a,NL,avaConv,d014,0.04325366666666666
openspace,openspace_a,NO,avaConv,d014,0.026028166666666668
openspace,openspace_a,PL,avaConv,d014,0.05498720833333332
openspace,openspace_a,PT,avaConv,d014,0.12448604166666666
openspace,openspace_a,RO,avaConv,d014,0.06767445833333334
openspace,openspace_a,SE,avaConv,d014,0.019443291666666668
openspace,openspace_a,SI,avaConv,d014,0.01768233333333333
openspace,openspace_a,SK,avaConv,d014,0.025088041666666668
openspace,openspace_a,UK,avaConv,d014,0.013895749999999998
openspace,openspace_a,EE,avaConv,d014,0.012331916666666665
openspace,openspace_a,LT,avaConv,d014,0.036693333333333335
openspace,openspace_a,LV,avaConv,d014,0.02403066666666667
openspace,openspace_a,NONEU_Balkan,avaConv,d014,0.07042504308333335
openspace,openspace_a,TR,avaConv,d014,0.08516562500000001
openspace,openspace_a,AT,avaConv,d015,0.06407170833333334
openspace,openspace_a,BE,avaConv,d015,0.02751175
openspace,openspace_a,BG,avaConv,d015,0.035747375
openspace,openspace_a,CH,avaConv,d015,0.047283875
openspace,openspace_a,CZ,avaConv,d015,0.0492665
openspace,openspace_a,DK,avaConv,d015,0.022392625
openspace,openspace_a,ES,avaConv,d015,0.08642054166666667
openspace,openspace_a,FI,avaConv,d015,0.005542916666666666
openspace,openspace_a,FR,avaConv,d015,0.05253987500000001
openspace,openspace_a,GR,avaConv,d015,0.047637125
openspace,openspace_a,HR,avaConv,d015,0.0416703125
openspace,openspace_a,HU,avaConv,d015,0.0273275
openspace,openspace_a,IE,avaConv,d015,0.043230833333333336
openspace,openspace_a,IT,avaConv,d015,0.05569945833333333
openspace,openspace_a,LU,avaConv,d015,0.021847625
openspace,openspace_a,NL,avaConv,d015,0.015613916666666667
openspace,openspace_a,NO,avaConv,d015,0.017960791666666663
openspace,openspace_a,PL,avaConv,d015,0.05248183333333332
openspace,openspace_a,PT,avaConv,d015,0.053086458333333336
openspace,openspace_a,RO,avaConv,d015,0.034751833333333336
openspace,openspace_a,SE,avaConv,d015,0.004912333333333334
openspace,openspace_a,SI,avaConv,d015,0.041663
openspace,openspace_a,SK,avaConv,d015,0.03850841666666666
openspace,openspace_a,UK,avaConv,d015,0.036508000000000006
openspace,openspace_a,EE,avaConv,d015,0.0066828750000000004
openspace,openspace_a,LT,avaConv,d015,0.012976000000000001
openspace,openspace_a,LV,avaConv,d015,0.007163208333333333
openspace,openspace_a,NONEU_Balkan,avaConv,d015,0.040467141666666664
openspace,openspace_a,TR,avaConv,d015,0.047637125
openspace,openspace_a,AT,avaConv,d016,0.041631791666666675
openspace,openspace_a,BE,avaConv,d016,0.055975583333333336
openspace,openspace_a,BG,avaConv,d016,0.06739841666666667
openspace,openspace_a,CH,avaConv,d016,0.06718195833333333
openspace,openspace_a,CZ,avaConv,d016,0.03602675
openspace,openspace_a,DK,avaConv,d016,0.03182154166666667
openspace,openspace_a,ES,avaConv,d016,0.033417666666666665
openspace,openspace_a,FI,avaConv,d016,0.006579333333333333
openspace,openspace_a,FR,avaConv,d016,0.06826816666666667
openspace,openspace_a,GR,avaConv,d016,0.090707875
openspace,openspace_a,HR,avaConv,d016,0.04500581770833333
openspace,openspace_a,HU,avaConv,d016,0.04598979166666667
openspace,openspace_a,IE,avaConv,d016,0.004257624999999999
openspace,openspace_a,IT,avaConv,d016,0.057917416666666666
openspace,openspace_a,LU,avaConv,d016,0.040029916666666665
openspace,openspace_a,NL,avaConv,d016,0.06269933333333334
openspace,openspace_a,NO,avaConv,d016,0.02076291666666667
openspace,openspace_a,PL,avaConv,d016,0.02558616666666666
openspace,openspace_a,PT,avaConv,d016,0.026314916666666664
openspace,openspace_a,RO,avaConv,d016,0.031190833333333334
openspace,openspace_a,SE,avaConv,d016,0.010883166666666666
openspace,openspace_a,SI,avaConv,d016,0.033656708333333334
openspace,openspace_a,SK,avaConv,d016,0.040680958333333336
openspace,openspace_a,UK,avaConv,d016,0.027347
openspace,openspace_a,EE,avaConv,d016,0.016230541666666667
openspace,openspace_a,LT,avaConv,d016,0.048312041666666666
openspace,openspace_a,LV,avaConv,d016,0.029013041666666666
openspace,openspace_a,NONEU_Balkan,avaConv,d016,0.06950694862500001
openspace,openspace_a,TR,avaConv,d016,0.090707875
